link_name,bandwidth_bps,total_bytes,utilization,makespan_s
local0,75000000000.0,217341776736.0,0.032514,89.128830
local1,75000000000.0,217341776736.0,0.032514,89.128830
local2,75000000000.0,253817461128.0,0.037970,89.128830
local3,75000000000.0,253817461128.0,0.037970,89.128830
local4,75000000000.0,436285108056.0,0.065267,89.128830
local5,75000000000.0,436285108056.0,0.065267,89.128830
local6,75000000000.0,438987293808.0,0.065671,89.128830
local7,75000000000.0,438987293808.0,0.065671,89.128830
nic0_0,12500000000.0,847459141424.0,0.760660,89.128830
nic1_0,12500000000.0,847459141424.0,0.760660,89.128830
nic2_0,12500000000.0,917337435392.0,0.823381,89.128830
nic3_0,12500000000.0,917337435392.0,0.823381,89.128830
nic4_0,12500000000.0,290856738704.0,0.261066,89.128830
nic5_0,12500000000.0,290856738704.0,0.261066,89.128830
nic6_0,12500000000.0,292658195872.0,0.262683,89.128830
nic7_0,12500000000.0,292658195872.0,0.262683,89.128830
sw0_0,25000000000.0,0.0,0.000000,89.128830
sw0_1,25000000000.0,1876720379296.0,0.842251,89.128830
sw0_2,25000000000.0,0.0,0.000000,89.128830
sw0_3,25000000000.0,471591132096.0,0.211645,89.128830
sw1_0,50000000000.0,2348311511392.0,0.526948,89.128830
sw1_1,50000000000.0,0.0,0.000000,89.128830
